"id","name","publisher_id","setting_id","perspective_id"
1,Alter Ego,1,,
2,Ark Pandora,2, 6, 4
3,Mr Mephisto,3,,4
4,Super Bowl XX,4,,
5,Geoff Cape's Strongman Challenge,5,,
6,PSI 5 Trading Company,6, 2, 
7,Thrust,7, 2, 3
8,Doctor Who and the Mines of Terror,8,,3
9,Mugsy's Revenge,9,,4
10,Captain Kidd,3,,4
11,Uridium,10, 2, 1
12,Winter Olympics,11,,
13,Specventure,12,,4
14,Willow Pattern,7,,
15,Tomahawk,13,,
16,Zoids,5, 2, 4
17,Mr. Puniverse,12, 10, 4
18,Locomotion,12,,4
19,Gun.Smoke (Arcade),14, 5, 2
20,Green Beret (Arcade),15, 7, 1
21,Express Raider,16, 5, 1
22,Monty on the Run,17,,4
23,Koronis Rift,1,,5
24,Ballblazer,1,,5
25,Rock 'n' Wrestle,9,,
26,Kane,12, 5, 
27,Chimera,7,,4
28,Bounder,17,,2
29,Fight Night,6,,
30,Little Computer People,1, 1, 4
1015,Enduro Racer,141,,10
32,Lucifer's Realm,6,,
33,Mission Asteroid,6, 2, 
34,Lord of the Rings - Game One,9, 8, 
35,Mindshadow,1,,
36,The Never Ending Story,4, 8, 
37,Terrormolinos,9, 11, 
38,Robin of Sherwood - The Touchstones of Rhiannon,19, 8, 
39,Questprobe 2 - Spiderman,19, 10, 
40,Tower of Despair,20, 8, 
41,Silent Service,6, 3, 
42,Cauldron 2 - The pumpkin strikes back,21, 8, 4
43,Ping Pong,22,,
44,Elite,7, 2, 9
45,Knight Games,23, 9, 
46,Revs,7,,
47,Gun Fright,24, 5, 8
48,International Karate,25, 17, 4
49,Five-a-side soccer,26, 1, 1
50,Spellbound,26,,4
51,A View to a kill,27, 12, 3
53,Green Beret,22, 7, 1
54,Empire!,7, 2, 4
55,V - The computer game,4, 13, 4
56,Fairlight,234,,7
57,Devil's Crown,12,,4
755,Rockman,12,,4
59,Ice Palace,26,,4
60,Kikstart,12,,1
61,The Comet Game,7,,
62,Elektra Glide,23,,
63,The Eidolon,1, 8, 5
64,Sweevo's World,29,,8
65,Bomb Jack,30,,4
66,Quake minus one,31,,5
67,Commando,30, 7, 2
68,Yie Ar Kung-Fu,22, 17, 4
69,Doomdark's Revenge,32, 8, 
70,Kentilla,12, 8, 
71,Leaderboard,6,,4
72,Bombo,2,,4
73,The Planets,5, 13, 5
74,N.E.X.U.S.,33,,3
75,Solo Flight Plus,6, 4, 5
76,Acrojet,6, 4, 5
77,Bounces,32, 9, 4
78,Southern Belle,10,,5
79,Biggles,34, 7, 1
90,Return of the Space Warriors,39, 13, 4
81,Mermaid Madness,35, 3, 3
82,Boulderdash III,36, 2, 3
91,Hang On,40,,
84,Ollie's Follies,37,,4
85,Slamball,37,,2
86,Moon Shuttle,37, 2, 2
87,Shamus,37, 8, 4
88,Breakdance,37, 1, 
89,International Volley,38,,8
92,World Cup,41,,3
93,Jail Break,15, 14, 1
94,Bored of the Rings,42, 8, 
95,Ballyhoo,43,,
96,Seabase Delta,7, 14, 4
97,Questprobe III: The Fantastic Four,6, 13, 4
98,The Very Big Cave Adventure,42,,4
99,Redhawk,9, 13, 4
100,Infiltrator,6, 12, 
102,Tubular Bells,44,,
103,Icups,7, 2, 2
104,Saboteur,45, 12, 4
105,Superstar Ping Pong,6,,4
106,Legend of the Amazon Women,6, 8, 1
107,Tau Ceti,42, 2, 5
108,Samantha Fox Strip Poker,5, 15, 
1071,Pin Point,52,,8
110,The Way of the Tiger,17, 17, 1
111,Murder on the Mississippi,1,,1
112,Ghosts'n'Goblins,30, 11, 3
113,Time Trax,46, 13, 4
114,Mandragore,47, 8, 3
115,Mystery Voyage,48, 3, 
116,Rebel Planet,6, 13, 
117,Go for the Gold,37,,1
118,Iridis Alpha,10, 2, 1
119,Beyond the Forbidden Forest,6, 11, 1
120,Batman,4, 10, 8
121,Dragon's Lair,49, 8, 
122,Hole in One,26,,
123,Mission Elevator,50, 12, 2
124,Parallax,4, 2, 3
125,Collapse,7,,4
126,Miami Vice,4, 14, 2
127,Hijack,35, 14, 4
128,W.A.R,5, 2, 1
129,Street Olympics,12,,1
130,Knight Rider,4, 14, 
131,Monty on the Run,17,,4
132,Hacker II,1, 14, 4
133,Heartland,7, 8, 
134,Super Cycle,6,,4
135,Kikstart II,12,,1
136,Graphic Adventure Creator,51,,
137,Hunchback - the Adventure!,4, 9, 4
138,World Games,6,,3
139,Jack the Nipper,17,,4
140,Paperboy,30,,7
141,Winter Events,52,,3
142,Two on Two,1,,4
143,Mind Pursuit,6,,4
144,(It's) Clean up Time,53,,4
145,Sanxion,54, 2, 1
146,Mission Omega,55, 13, 
147,Fungus,53, 2, 4
148,Legionnaire,52, 7, 2
149,Glider Rider,56, 12, 
150,Asterix and the Magic Cauldron,9, 9, 4
151,Skyfox,57, 4, 4
152,Alleykat,10, 13, 2
153,Miami Dice,3,,4
154,Robo Knight,52, 8, 
155,Velocipede II,53,,1
156,Johnny Reb II,58, 7, 4
157,Vietnam,6, 7, 4
158,Tass Times in Tone Town,1, 13, 
159,The Sentinel,7, 13, 5
160,Pippo,12,,4
161,Uchi Mata,5,,4
162,Movie Monster,6,,3
163,Highway Encounter,17, 13, 7
164,Boulderdash Construction Kit,36,,3
165,Street Surfer,38,,4
166,Trailblazer,17, 2, 5
167,Ace of Aces,6, 7, 3
168,The Sacred Armour of Antiriad,21, 13, 4
169,Matrix & Laserzone,57, 2, 
170,Assault Machine,33, 7, 
171,1942,30, 7, 2
172,Arena,58, 13, 5
173,Finders Keepers,12, 9, 4
174,Frank Bruno's Boxing,30,,4
175,Think!,57,,4
176,180,26,,4
177,The Pawn,59, 8, 
178,Leather Goddesses of Phobos,1, 13, 
179,Kwah!!,9, 13, 
180,Cobra,4, 14, 1
181,Revolution,6,,7
182,Panther,12, 13, 7
183,Super Huey II,6, 4, 5
184,Nuclear Embargo,50, 13, 4
185,The Great Escape,4, 7, 8
186,Classic III,17,,
187,Scooby Doo,30, 10, 3
188,Tarzan,5,,4
189,Galivan,22, 13, 3
190,The Dam Busters,6, 4, 5
191,Xcellor 8,17, 2, 
192,Fist II,9, 17, 1
193,Yie Ar Kung-Fu II,22,,1
194,Xeno,61, 2, 1
195,Judge Dredd,9, 14, 1
196,Warrior II,33, 13, 3
197,Crystal Castles,6, 8, 8
198,The Bard's Tale,57, 8, 5
199,Explorer,62,,
276,Metro-Cross,6, 13, 1
201,Park Patrol,7,,1
202,Bobby Bearing,234,,8
203,Donkey Kong,4,,4
204,Xevious,6, 2, 2
205,Avenger,17,,3
206,Space 2,63, 13, 
207,Gauntlet,6, 8, 3
208,Starglider,59, 2, 5
209,Storm,12, 8, 4
210,P.O.D.,12, 2, 
211,Pin Point,52,,8
212,They Stole a Million,57, 14,
213,Labyrinth,1, 8, 1
214,Aardvark,3,,4
215,Howard the Duck,1,,3
216,Shangai,1, 8, 4
217,Dragon's Lair II,49, 8, 4
218,Championship Wrestling,6,,4
219,Tenth Frame,6,,4
220,Molecule Man,12,,8
221,Space Harrier,30, 2, 5
222,Flash Gordon,26, 13, 
223,Camelot Warriors,57, 9, 1
224,Moonmist,1, 16, 
225,Kayleth,6, 13, 
226,Portal,1, 13, 4
227,Double Take,4, 13, 4
228,Knucklebusters,9, 14, 1
229,Heart of Africa,64,,3
230,Bomb Jack II,30,,4
231,L.A. Swat,12, 14, 2
232,Mutants,4, 2, 3
233,Blood'n'Guts,65, 9, 4
234,Terror of the Deep,34, 3, 5
235,Raid 2000,34, 2, 3
236,Top Gun,4, 4, 5
237,Footballer of the Year,17,,4
238,Super Soccer,22,,1
239,Peter Shilton's Handball Maradona,46,,4
240,Destroyer,6, 3, 
241,Olli and Lissa,7, 8, 4
242,Pneumatic Hammers,7,,4
243,Zub,12, 13, 
244,Agent Orange,56, 13, 1
245,The Inheritance,47,,
246,Impossaball,10,,
247,West Bank,17, 5, 4
248,Short Circuit,4, 13, 
249,Cyrus II,66,,4
250,Master Chess,12,,4
251,Future Knight,17, 13, 3
252,Star Soldier,56, 13, 1
253,Vera Cruz,47, 16, 
254,Gunship,67, 4, 5
256,Explorer,35, 13, 4
257,Jail Break,15, 14, 1
258,Leviathan,23, 2, 7
259,Delta,54, 2, 1
260,Express Raider,6, 5, 1
261,Transformers,1, 13, 
262,Hive,7, 13, 5
263,Sailing,1, 3, 5
