"game_version_id","volume_id","page_id","vote"
2,1,12,98
3,1,14,80
4,1,15,24
5,1,16,90
160,4,274,89
7,1,18,33
8,1,19,88
9,1,19,88
10,1,22,94
157,4,272,70
12,1,24,86
13,1,24,86
14,1,25,33
15,1,27,32
16,1,28,94
2112,12,938,84
18,1,29,55
19,1,30,70
20,1,32,
21,1,33,90
22,1,34,92
151,4,270,16
2091,15,1167,68
25,1,36,76
26,1,38,55
27,1,47,
29,1,48,
28,1,48,
44,1,65,58
45,1,66,
56,1,68,88
57,1,68,88
58,2,92,94
59,2,94,60
149,4,268,93
148,4,267,49
147,4,266,85
62,2,95,80
64,2,96,91
65,2,98,35
71,2,100,97
146,4,264,75
145,4,263,49
67,4,259,50
74,2,102,38
144,4,262,44
86,2,103,40
143,4,256,92
141,3,224,
89,2,104,90
140,3,223,75
91,2,106,25
3184,16,1222,80
84,2,108,76
85,2,108,76
139,3,222,62
94,2,111,93
137,3,221,85
95,2,112,38
138,3,222,62
98,2,114,38
108,2,137,90
110,3,173,97
109,3,173,97
3183,16,1222,72
111,3,177,47
113,3,178,92
114,3,180,90
115,3,182,85
116,3,184,83
117,3,188,86
118,3,190,88
119,3,192,48
80,3,186,87
121,3,194,78
121,3,196,93
122,3,196,93
3236,3,199,11
125,3,201,70
126,3,202,96
127,3,204,13
128,3,205,51
129,3,206,35
130,3,207,75
131,3,208,80
132,2,128,
133,2,129,
135,2,138,78
136,2,139,88
161,4,276,94
163,4,278,80
164,4,295,65
165,4,296,30
166,4,297,
167,5,336,95
168,5,338,95
169,5,340,91
170,5,342,91
173,5,344,69
174,5,346,38
175,5,347,84
3182,16,1221,54
180,5,350,85
181,5,351,30
184,5,352,81
185,5,354,44
187,5,356,50
189,5,357,16
190,5,358,96
192,5,360,88
193,5,362,92
194,5,364,95
134,2,130,
195,4,260,96
196,5,377,
197,5,377,
200,5,376,60
203,6,416,98
1326,31,2475,66
207,6,419,75
212,6,420,84
213,6,422,95
215,6,424,73
216,6,426,69
217,6,427,75
218,6,428,93
219,6,431,76
220,6,432,80
222,6,433,65
223,6,434,49
224,6,436,60
228,6,438,88
229,6,440,89
231,6,442,75
233,6,443,70
235,6,444,36
236,6,446,82
238,6,448,92
239,6,451,95
240,7,496,
242,7,499,82
243,7,500,89
245,7,502,75
248,7,504,79
250,7,506,97
252,7,509,29
253,7,510,93
261,7,512,88
265,7,514,93
267,7,517,94
269,7,518,70
270,7,519,81
275,7,520,84
276,7,522,
278,7,522,28
280,7,523,82
282,7,523,32
284,7,524,89
285,7,525,70
286,7,527,96
287,7,529,91
288,7,531,60
290,8,576,93
291,8,578,93
293,8,580,73
294,8,582,89
297,8,584,85
299,8,586,89
301,8,588,91
303,8,590,91
308,8,592,77
313,8,593,53
317,8,594,92
318,8,596,66
320,8,597,39
322,8,598,75
325,8,600,86
328,8,602,71
329,8,604,88
330,8,606,45
336,8,609,93
337,9,656,94
338,9,658,93
339,9,660,60
340,9,661,21
343,9,662,86
348,9,663,57
350,9,664,93
356,9,666,68
359,9,668,45
363,9,669,39
365,9,669,61
367,9,670,90
369,9,672,79
371,9,673,43
373,9,674,70
374,9,676,78
376,9,678,87
380,9,680,80
382,9,682,85
386,9,683,69
388,9,684,45
392,9,686,91
393,9,688,44
394,9,693,91
395,9,694,69
396,10,734,
397,10,736,48
400,10,737,56
401,10,738,91
402,10,740,80
404,10,741,74
408,10,742,90
410,10,744,56
412,10,745,60
414,10,746,56
416,10,747,68
421,10,748,64
426,10,749,11
427,10,749,38
429,10,750,85
430,10,752,50
432,10,753,58
433,10,754,38
434,10,755,37
437,10,756,91
439,10,757,83
440,10,758,75
442,10,759,45
446,10,760,
447,10,761,
448,10,762,69
455,10,763,40
164,10,781,65
457,10,782,77
462,11,814,94
461,11,814,72
3179,16,1220,90
466,11,819,13
468,11,820,30
472,11,821,41
476,11,822,74
478,11,824,60
480,11,826,40
482,11,828,67
483,11,829,52
486,11,830,58
488,11,832,54
491,11,833,80
492,11,834,88
494,11,836,81
496,11,839,58
498,11,840,85
499,11,843,68
500,11,843,33
504,11,845,35
505,11,846,25
512,13,978,89
513,13,979,63
514,13,980,72
515,13,982,90
516,13,983,84
518,13,984,49
519,13,985,32
520,13,986,44
522,13,988,46
526,13,990,38
530,13,991,15
531,13,992,27
532,13,993,27
533,13,994,37
300,13,996,90
534,13,997,33
536,14,1092,55
538,13,1006,
540,14,1054,98
543,14,1056,94
546,14,1057,52
547,14,1058,86
550,14,1059,47
552,14,1060,41
554,14,1061,75
556,14,1062,75
558,14,1063,30
560,14,1064,29
562,14,1065,25
564,14,1065,61
566,14,1066,86
567,14,1067,88
568,14,1068,55
571,14,1069,78
572,14,1070,87
575,14,1071,32
577,14,1073,61
580,14,1073,66
581,14,1074,89
587,14,1075,81
589,14,1076,90
594,14,1087,92
507,14,1088,82
596,14,1089,45
5,14,1089,80
598,14,1091,90
599,19,1456,96
601,19,1458,78
602,19,1459,91
605,19,1460,55
609,19,1460,70
611,19,1461,57
613,19,1462,94
615,19,1464,63
618,19,1464,43
621,19,1466,90
623,19,1468,72
627,19,1469,62
629,19,1470,86
631,19,1471,61
633,19,1472,77
634,19,1472,73
636,19,1473,71
638,19,1474,93
642,19,1475,40
644,19,1486,68
647,19,1487,85
648,19,1491,90
649,19,1491,57
650,20,1535,69
652,20,1536,94
656,20,1538,81
659,20,1539,63
661,20,1540,57
664,20,1541,92
666,20,1542,85
668,20,1543,62
670,20,1544,39
672,20,1544,42
675,20,1545,74
677,20,1546,68
681,20,1547,48
685,20,1548,42
687,20,1548,66
689,20,1549,66
692,20,1550,58
693,20,1550,37
696,20,1552,90
698,20,1555,53
700,20,1556,69
701,20,1558,70
703,20,1559,68
705,20,1560,42
706,20,1560,88
707,20,1561,23
708,20,1561,59
712,20,1570,85
713,20,1571,95
715,20,1573,81
716,20,1574,58
718,20,1575,78
720,21,1615,81
724,21,1616,96
726,21,1620,90
728,21,1623,81
731,21,1624,57
735,21,1625,61
739,21,1626,81
742,21,1627,46
744,21,1628,89
746,21,1631,84
747,21,1632,83
748,21,1633,44
749,21,1640,67
750,21,1640,28
752,21,1650,80
754,21,1652,42
756,21,1652,24
757,21,1653,55
758,21,1656,79
760,21,1657,95
763,21,1658,90
764,21,1660,79
765,21,1660,90
766,21,1661,83
767,21,1661,52
768,21,1662,93
769,21,1663,70
772,22,1696,83
775,22,1698,87
776,22,1700,78
779,22,1701,81
781,22,1702,87
783,22,1704,79
785,22,1705,61
787,22,1706,36
788,22,1706,38
789,22,1707,77
791,22,1709,69
1824,36,2880,70
794,22,1718,39
795,22,1718,28
797,22,1719,96
799,22,1719,85
801,22,1720,85
802,22,1723,92
804,22,1724,85
808,22,1725,61
810,22,1734,90
812,22,1736,67
814,22,1738,96
815,22,1740,67
817,22,1741,85
819,22,1742,79
820,22,1742,82
823,22,1743,79
824,22,1743,81
825,22,1744,81
826,23,1773,60
829,23,1774,89
830,23,1777,68
832,23,1778,62
834,23,1778,57
837,23,1779,62
839,23,1780,89
845,23,1782,93
848,23,1785,81
850,23,1786,79
851,23,1790,91
855,23,1812,40
858,23,1812,56
860,23,1813,15
862,23,1817,23
865,23,1818,76
871,23,1819,76
873,23,1822,92
877,23,1824,24
880,23,1824,13
881,23,1825,33
883,23,1828,88
884,23,1828,49
885,23,1829,40
886,23,1829,87
887,24,1853,44
889,24,1854,86
893,24,1856,96
898,24,1858,77
901,24,1859,20
903,24,1862,81
905,24,1865,68
907,24,1884,51
911,24,1884,8
914,24,1885,60
916,24,1886,59
919,24,1887,13
921,24,1890,90
923,24,1894,84
926,24,1896,70
931,24,1897,46
934,24,1899,48
935,24,1899,74
935,24,1899,74
936,24,1900,90
937,24,1900,92
938,24,1901,80
939,25,1933,51
940,25,1933,60
942,25,1938,83
943,25,1938,81
944,25,1942,92
945,25,1942,
946,25,1942,
948,25,1945,27
949,25,1948,25
950,25,1949,90
951,25,1954,61
953,25,1968,90
958,25,1972,96
961,25,1974,56
965,25,1975,77
966,25,1975,77
967,25,1976,31
972,25,1977,69
976,25,1979,70
977,25,1979,58
978,25,1980,68
979,25,1980,63
99,25,1981,79
177,5,348,93
981,25,1981,83
986,25,1984,70
987,25,1984,70
982,25,1984,76
984,25,1984,79
985,25,1984,77
988,25,1986,61
989,25,1989,86
991,25,1991,95
994,25,1992,60
995,25,1994,86
998,25,1996,75
999,25,1996,78
1000,25,1997,36
1001,13,974,92
1002,13,975,95
1004,13,976,92
1007,14,1082,89
1010,14,1083,89
1014,14,1084,70
107,2,140,95
1019,2,142,79
1026,12,894,97
1030,12,896,87
1034,12,898,98
1039,12,900,82
1042,12,902,62
1044,12,903,59
1046,12,904,23
1050,12,905,60
1051,12,906,47
1054,12,907,39
1055,12,908,86
1058,12,910,77
3173,16,1219,68
1062,12,911,15
1065,12,912,89
1066,12,914,31
1067,12,915,37
1068,12,916,90
1071,12,918,80
1075,12,920,91
1078,12,933,90
1080,12,934,77
1081,15,1134,97
1083,15,1137,69
1084,15,1137,74
1087,15,1138,84
1089,15,1139,34
1092,15,1140,81
1094,15,1142,80
1097,15,1143,70
1099,15,1144,89
1101,15,1145,39
1104,15,1146,55
1106,15,1146,71
1108,15,1147,48
591,15,1148,94
1110,15,1148,56
1111,15,1149,44
1113,15,1150,83
1115,15,1151,67
1118,15,1152,74
1121,15,1154,15
1123,15,1157,33
1126,15,1158,68
1127,15,1170,84
1128,15,1171,90
1129,15,1171,70
1132,15,1172,75
1133,17,1296,92
1135,17,1297,64
1140,17,1298,90
1144,17,1299,86
1148,17,1300,93
1150,17,1301,63
1152,17,1306,92
1153,17,1307,72
1154,17,1307,51
1156,17,1308,
1157,17,1309,80
1160,17,1310,48
1161,17,1311,85
1162,17,1312,85
1164,17,1314,46
1166,17,1328,69
1170,17,1330,76
1174,17,1334,90
1176,17,1337,87
1177,17,1342,92
1178,17,1342,83
1179,17,1342,28
1182,17,1342,48
1183,17,1343,63
1184,17,1343,78
1185,17,1343,89
1187,18,1376,
1189,18,1378,93
1190,18,1380,80
1192,18,1381,74
1196,18,1382,58
1198,18,1383,71
1200,18,1392,90
1201,18,1396,89
1203,18,1396,79
1204,18,1396,92
1205,18,1397,86
1206,18,1397,86
1208,18,1397,70
1208,18,1397,70
1207,18,1397,70
1210,18,1397,
1209,18,1397,
1211,18,1399,92
1213,18,1401,87
1215,18,1408,97
1221,18,1418,94
1223,18,1418,80
1224,18,1419,75
1226,18,1419,31
1227,18,1419,67
1228,18,1420,80
1229,18,1420,45
1231,18,1420,73
1232,18,1422,46
1233,18,1422,57
1235,18,1424,97
1238,18,1426,80
1239,26,2012,94
1241,26,2012,
1243,26,2016,91
1245,26,2018,96
1247,26,2022,85
1249,26,2026,94
1251,26,2029,50
1253,26,2029,43
1254,26,2034,70
1256,26,2034,85
1257,26,2034,89
1258,26,2037,53
1260,26,2038,62
1262,26,2038,
1265,26,2043,53
1267,26,2044,72
1269,26,2044,78
1271,26,2046,68
1273,26,2046,68
1275,26,2050,45
1277,26,2050,54
1278,26,2050,56
1279,26,2051,80
1280,26,2052,60
1282,26,2052,69
1283,26,2053,81
1284,26,2058,75
1286,26,2060,74
1288,26,2060,72
1289,26,2060,78
1290,26,2061,70
1291,26,2062,31
1292,26,2062,56
1293,26,2062,41
1295,26,2063,36
1296,26,2064,55
1298,26,2064,60
1299,26,2064,59
1300,26,2065,89
1301,26,2072,41
1302,26,2072,58
1303,26,2072,41
1304,26,2073,41
1305,26,2073,39
1306,26,2073,55
1307,26,2074,61
1309,26,2074,70
1310,27,2092,79
1314,27,2093,79
572,27,2093,
1315,27,2094,91
1317,27,2096,74
1319,27,2098,76
1321,27,2099,81
1322,27,2100,60
1324,27,2101,57
1328,27,2106,65
1329,27,2106,59
1330,27,2111,64
1332,27,2130,83
1333,27,2132,90
