"id","issue_id","volume_type_id","label","pages_number"
1,1,1,"1",80
2,2,1,"2",80
3,3,1,"3",80
4,4,1,"4",80
5,5,1,"5",80
6,6,1,"6",80
7,7,1,"7",80
8,8,1,"8",80
9,9,1,"9",80
10,10,1,"10",80
11,11,1,"11",80
12,12,1,"12",80
13,13,1,"13",80
14,14,1,"14",80
15,15,1,"15",80
16,16,1,"16",80
17,17,1,"17",80
18,18,1,"18",80
19,19,1,"19",80
20,20,1,"20",80
21,21,1,"21",80
22,22,1,"22",80
23,23,1,"23",80
24,24,1,"24",80
25,25,1,"25",80
26,26,1,"26",80
27,27,1,"27",80
28,28,1,"28",80
29,29,1,"29",96
30,30,1,"30",96
31,31,1,"31",96
32,32,1,"32",96
33,33,1,"33",80
34,34,1,"34",80
35,35,1,"35",80
36,36,1,"36",80
37,37,1,"37",80
38,38,1,"38",80
39,39,1,"39",88
40,40,1,"40",80
41,41,1,"41",80
42,42,1,"42",80
43,43,1,"43",80
44,44,1,"44",80
45,45,1,"45",84
46,46,1,"46",84
47,47,1,"47",84
48,48,1,"48",84
49,49,1,"49",84
50,50,1,"50",84
51,51,1,"51",100
52,52,1,"52",84
53,53,1,"53",84
54,54,1,"54",84
55,55,1,"55",84
56,56,1,"56",84
57,57,1,"57",84
58,58,1,"58",84
59,59,1,"59",84
60,60,1,"60",84
61,61,1,"61",84
62,62,1,"62",84
63,63,1,"63",84
64,64,1,"64",84
65,65,1,"65",84
66,66,1,"66",84
67,67,1,"67",84
68,68,1,"68",84
69,69,1,"69",84
70,70,1,"70",84
71,71,1,"71",84
72,72,1,"72",84
73,73,1,"73",84
74,74,1,"74",16
75,75,1,"75",16
76,76,1,"76",16
77,77,1,"77",16
78,78,1,"78",16
79,79,1,"79",16
80,80,1,"80",16
81,81,1,"81",8
82,82,1,"82",8
83,83,1,"83",8
84,84,1,"84",8
